name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,is_home,form,class
Bernd Leno,GK,0.0,0.0,0.85783125,1.5,0.0,0.0,0.15,4,0,1.5,?
Arthur Okonkwo,GK,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,4,0,0.0,?
Emiliano Martínez,GK,0.0,0.0,1.0633495,12.799999999999999,0.0,0.0,1.275,7,0,4.0,?
Viljami Sinisalo,GK,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,7,0,0.0,?
Robin Olsen,GK,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,7,0,0.0,?
David Raya Martin,GK,0.0,0.0,1.28275775,33.900000000000006,0.0,0.0,3.3750000000000004,9,0,3.75,?
Álvaro Fernández,GK,0.0,0.0,1.28275775,0.0,0.0,0.0,0.0,9,0,0.0,?
Matthew Cox,GK,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,9,0,0.0,?
Jonas Lössl,GK,0.0,0.0,1.28275775,0.0,0.0,0.0,0.0,9,0,0.0,?
Jason Steele,GK,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,2,1,0.0,?
Robert Sánchez,GK,0.0,0.0,1.8545149999999997,30.95,0.0,0.0,3.0999999999999996,2,1,1.75,?
Thomas McGill,GK,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,2,1,0.0,?
Nick Pope,GK,0.0,0.0,1.7350124999999998,17.3,0.0,0.0,1.7249999999999999,10,1,1.5,?
Will Norris,GK,0,0,1.7350124999999998,0.0,0.0,0.0,0.0,10,1,0.0,?
Wayne Hennessey,GK,0.0,0.07637932151556015,1.7350124999999998,0.0,0.0,0.0,0.0,10,1,0.0,?
Sam Waller,GK,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,10,1,0.0,?
Kepa Arrizabalaga,GK,0.0,0.0,0.67125375,0.0,0.0,0.0,0.0,4,1,0.0,?
Edouard Mendy,GK,0.0,0.0,0.67125375,8.5,0.0,0.0,0.825,4,1,4.75,?
Marcus Bettinelli,GK,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,4,1,0.0,?
Vicente Guaita,GK,0.0,0.0,1.1815582500000001,15.799999999999999,0.0,0.0,1.575,8,1,4.25,?
Jack Butland,GK,0.0,0.0,1.1815582500000001,3.35,0.0,0.0,0.35,8,1,1.0,?
Remi Matthews,GK,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,8,1,0.0,?
Jordan Pickford,GK,0.0,0.005482958629727364,1.66179375,19.900000000000002,0.0,0.0,1.975,9,0,1.75,?
Asmir Begović,GK,0.0,0.0,1.66179375,10.65,0.0,0.0,1.075,9,0,2.75,?
Andy Lonergan,GK,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,9,0,0.0,?
Harry Tyrer,GK,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,9,0,0.0,?
Kasper Schmeichel,GK,0.0,0.003967297729104757,1.961835,34.75,2.5,0.0,3.725,8,0,5.25,?
Eldin Jakupovic,GK,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,8,0,0.0,?
Kristoffer Klaesson,GK,FAIL,FAIL,FAIL,6.35,0.0,0.0,0.625,6,1,0.5,?
Adrián San Miguel del Castillo,GK,0,0,0.6608545,0.0,0.0,0.0,0.0,1,1,0.0,?
Alisson Ramses Becker,GK,0.0,0.0,0.6608545,22.15,0.0,0.0,2.225,1,1,7.5,?
Caoimhin Kelleher,GK,0.0,0.0,0.6608545,0.0,0.0,0.0,0.0,1,1,0.0,?
Marcelo de Araújo Pitaluga Filho,GK,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,1,1,0.0,?
Ederson Santana de Moraes,GK,0.0,0.0,0.9022382499999999,17.2,0.0,0.0,1.7,1,0,3.5,?
Zack Steffen,GK,0.0,0.0,0.9022382499999999,0.0,0.0,0.0,0.0,1,0,0.0,?
Scott Carson,GK,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,1,0,0.0,?
Cieran Slicker,GK,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,1,0,0.0,?
David de Gea,GK,0.0,0.0,1.63750625,24.5,0.0,0.0,2.4250000000000003,5,1,2.75,?
Dean Henderson,GK,0,0,1.63750625,0.0,0.0,0.0,0.0,5,1,0.0,?
Tom Heaton,GK,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,5,1,0.0,?
Karl Darlow,GK,0.0,0.0,1.30695725,0.0,0.0,0.0,0.0,7,0,0.0,?
Martin Dubravka,GK,0.0,0.0,1.30695725,23.5,0.0,0.0,2.35,7,0,2.5,?
Mark Gillespie,GK,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,7,0,0.0,?
Michael McGovern,GK,0,0,2.639405,0.0,0.0,0.0,0.0,6,0,0.0,?
Tim Krul,GK,0.0,0.11980179697275162,2.639405,23.45,3.325,0.0,2.6750000000000003,6,0,2.0,?
Angus Gunn,GK,0.0,0.0,2.639405,13.5,0.0,0.0,1.35,6,0,0.75,?
Jon McCracken,GK,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,6,0,0.0,?
Fraser Forster,GK,0.0,0.0,1.3461874999999999,20.8,0.0,0.0,2.1,3,0,2.5,?
Harry Lewis,GK,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,3,0,0.0,?
Willy Caballero,GK,0.0,0.0,1.3461874999999999,0.0,0.0,0.0,0.0,3,0,0.0,?
Hugo Lloris,GK,0.0,0.0,0.72825925,8.85,0.0,0.0,0.875,2,1,4.0,?
Pierluigi Gollini,GK,0,0,0.72825925,0.0,0.0,0.0,0.0,2,1,0.0,?
Brandon Austin,GK,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,2,1,0.0,?
Ben Foster,GK,0.0,0.0,1.5566175,20.8,0.0,0.0,2.075,10,0,3.5,?
Daniel Bachmann,GK,0.0,0.0,1.5566175,0.0,0.0,0.0,0.0,10,0,0.0,?
Robert Elliot,GK,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,10,0,0.0,?
Vincent Angelini,GK,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,10,0,0.0,?
Darren Randolph,GK,0,0,1.6706320000000001,0.0,0.0,0.0,0.0,3,1,0.0,?
Lukasz Fabianski,GK,0.0,0.0,1.6706320000000001,25.0,0.0,0.0,2.5,3,1,3.5,?
Alphonse Areola,GK,0.0,0.0,1.6706320000000001,0.0,0.0,0.0,0.0,3,1,0.0,?
John Ruddy,GK,0,0,1.5636459999999999,0.0,0.0,0.0,0.0,5,1,0.0,?
José Malheiro de Sá,GK,0.0,0.0,1.5636459999999999,22.1,0.0,0.0,2.225,5,1,4.0,?
James Storer,GK,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,5,1,0.0,?
